0.2930182 0.5179631 0.2830095 0.2691284 0.09196094
0.4723022 0.2892743 0.4043855 0.424351 0.3201398
0.2466491 0.3699172 0.1793931 0.196501 0.1705967
0.358165 0.3258933 0.3395517 0.2512419 0.1373379
0.1591751 0.4644429 0.06790315 0.419328 0.5413432
0.130598 0.387184 0.1858435 0.4596771 0.5091468
0.158613 0.7573085 0.4280149 0.34457 0.2636419
0.5441819 0.5029348 0.2140261 0.1163707 0.1380705
0.4187958 0.3386454 0.4538148 0.208109 0.3561863
0.2323064 0.3006854 0.1964542 0.4171466 0.4769
0.316068 0.04644151 0.4234091 0.2471238 0.2578853
0.1362542 0.3898929 0.2686856 0.412141 0.1321744
0.2388837 0.2084736 0.6380619 0.2828253 0.3096752
0.3305907 0.2441985 0.4153517 0.5889051 0.124253
0.3786992 0.1514564 0.2953573 0.2956955 0.5032228
0.1580457 0.5258842 0.1791271 0.5063642 0.2743625
0.4604744 0.2322361 0.2926213 0.2291536 0.2988768
0.3749039 0.3120931 0.5071138 0.3750903 0.3583625
0.3290696 0.3205727 0.5207764 0.4259788 0.03283577
0.3620401 0.5545482 0.4741435 0.3762912 0.442639
0.4950047 0.5297339 0.4474032 0.5620623 0.4553253
0.5570842 0.1273491 0.2403637 0.3022113 0.2236747
0.3974211 0.2988833 0.4413792 0.4571792 0.3484616
0.3123405 0.1123538 0.1361652 0.3019962 0.5457384
0.4738785 0.3903864 0.3474114 0.04403426 0.3210949
0.3344199 0.3430388 0.6486822 0.3507506 0.4459087
0.1593934 0.1997428 0.5287822 0.2528277 0.2418769
0.3737857 0.4928188 0.2256472 0.2008132 0.1225493
0.4415512 0.1771594 0.06901249 0.1969218 0.4973174
0.5748043 0.2336593 0.2842616 0.122 0.4313384
0.201881 0.606861 0.5490503 0.2479565 0.3199766
0.4302159 0.2190553 0.3616671 0.3739849 0.4753777
0.1708306 0.2368721 0.552363 0.3352263 0.6706426
0.04619584 0.3497513 0.2822416 0.2758459 0.1947094
0.3600304 0.1571612 0.1489174 0.2273594 0.14528
0.08132743 0.498646 0.2350772 0.3185367 0.4624653
0.4264327 0.1719316 0.1474498 0.1174226 0.2111678
0.2337246 0.2933135 0.1229565 0.4736846 0.2312158
0.1928321 0.3984563 0.3792922 0.4738362 0.3004763
0.1872013 0.38468 0.2242648 0.5437408 0.2886869
0.4411447 0.2050014 0.2097747 0.1770937 0.3831003
0.4461785 0.3081172 0.3000165 0.1908983 0.3212654
0.3017503 0.323611 0.2021567 0.1102279 0.3475211
